Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
0.0,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.0,TraderTwo,Tick,0,0,0,0,,,0,0,0,OK
0.25,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.25,TraderTwo,Tick,0,0,0,0,,,0,0,0,OK
0.453,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.453,TraderTwo,Tick,0,0,0,0,,,0,0,0,OK
0.797,TraderOne,Tick,0,0,0,0,,,0,0,0,OK
0.797,TraderTwo,Tick,0,0,0,0,,,0,0,0,OK
1.062,TraderOne,Tick,0,10,-10,10,147600,147100,-147,147,-1853,OK
1.062,TraderTwo,Tick,0,10,-10,10,147600,147100,-147,147,-1853,OK
1.25,TraderOne,Tick,1,10,-9,9,147000,147100,-118,218,1118,OK
1.25,TraderTwo,Tick,0,10,-10,10,147000,147100,-147,147,1147,OK
1.469,TraderOne,Tick,1,10,-9,9,147000,147100,-118,218,1118,OK
1.469,TraderTwo,Tick,0,10,-10,10,147000,147100,-147,147,1147,OK
1.75,TraderOne,Tick,1,10,-9,9,147000,147100,-118,218,1118,OK
1.75,TraderTwo,Tick,0,10,-10,10,147000,147100,-147,147,1147,OK
2.016,TraderOne,Tick,1,10,-9,9,147000,147100,-118,218,1118,OK
2.016,TraderTwo,Tick,0,10,-10,10,147000,147100,-147,147,1147,OK
2.297,TraderOne,Tick,1,10,-9,9,147000,146900,-118,218,-682,OK
2.297,TraderTwo,Tick,0,10,-10,10,147000,146900,-147,147,-853,OK
2.516,TraderOne,Tick,11,10,1,9,146400,146900,-265,-1469635,-835,OK
2.516,TraderTwo,Tick,10,10,0,10,146400,146900,-294,-1469706,-706,OK
2.781,TraderOne,Tick,11,10,1,-1,146400,146900,-265,-2635,-2835,OK
2.781,TraderTwo,Tick,10,10,0,0,146400,146900,-294,-2706,-2706,OK
3.0,TraderOne,Tick,11,10,1,-1,146400,146900,-265,-2635,-2835,OK
3.0,TraderTwo,Tick,10,10,0,0,146400,146900,-294,-2706,-2706,OK
3.234,TraderOne,Tick,11,10,1,-1,146400,146900,-265,-2635,-2835,OK
3.234,TraderTwo,Tick,10,10,0,0,146400,146900,-294,-2706,-2706,OK
3.531,TraderOne,Tick,11,20,-9,9,147500,146900,-412,-2488,-4288,OK
3.531,TraderTwo,Tick,10,20,-10,10,147500,146900,-441,-2559,-4559,OK
3.75,TraderOne,Tick,21,20,1,-1,146900,146900,-559,-3341,-3341,OK
3.75,TraderTwo,Tick,17,20,-3,3,146900,146900,-544,-3156,-3156,OK
3.969,TraderOne,Tick,21,20,1,-1,146900,146900,-559,-3341,-3341,OK
3.969,TraderTwo,Tick,17,20,-3,3,146900,146900,-544,-3156,-3156,OK
4.219,TraderOne,Tick,21,23,-2,2,146900,146900,-471,-3729,-3729,OK
4.219,TraderTwo,Tick,20,20,0,0,146900,146900,-588,-3412,-3412,OK
